date,max_temperature,min_temperature,avg_relative_humidity,avg_dew_point,avg_wind_speed,avg_pressure_sea,avg_pressure_station,precipitation,rain,snow,avg_temperature
2021-02-10,-5.3,-13.2,63,-14.6,15,102.77,100.57,0,0,0,-9.25
2021-02-09,-2.7,-11.4,69.5,-13.2,12,102.54,100.34,1,0,1.2,-7.05
2021-02-08,-6.5,-13.4,66,-14.9,13,102.7,100.47,0.2,0,0.4,-9.94
2021-02-07,-6.2,-13.3,70,-14.1,18,101.91,99.72,0.6,0,0.6,-9.75
2021-02-06,-6,-9.4,66.5,-12.9,21,101.22,99.04,0,0,0,-7.7
2021-02-05,1.7,-8,78.5,-6.7,32.5,99.91,97.78,5.2,2.8,2.4,-3.15
2021-02-04,4.3,-7.2,60.5,-6.5,13.5,100.87,98.73,1.4,0,1.4,-1.45
2021-02-03,0.6,-6.3,59.5,-10.3,33.5,101.13,98.99,0,0,0,-2.85
2021-02-02,-0.9,-9.6,61.5,-11.2,32.5,101.35,99.18,0,0,0,-5.25
2021-02-01,-3.7,-11.3,57.5,-14.7,20,101.97,99.78,0,0,0,-7.5
2021-01-31,-5.2,-10.6,67,-11.9,19,102.37,100.18,0,0,0,-7.9
2021-01-30,-2.2,-13.8,68.5,-12.2,6,102.81,100.6,0,0,0,-8
2021-01-29,-7.1,-14.6,71,-15,14,102.78,100.57,0.2,0,0.2,-10.85
2021-01-28,-7.8,-13.8,65.5,-14.6,26.5,102.88,100.67,0,0,0,-10.8
2021-01-27,-3.3,-10.2,73,-9.9,21,102.17,100,0,0,0,-6.75
2021-01-26,-0.5,-4.6,84.5,-5.1,20,101.14,99,7.4,0.2,9.2,-2.54
2021-01-25,1.9,-3.7,71.5,-5.8,7.5,101.92,99.76,0,0,0,-0.9
2021-01-24,-2.7,-7.2,67,-9.2,6,102.44,100.26,0,0,0,-4.95
2021-01-23,-4.8,-12.6,62,-13.7,21.5,102.32,100.13,0,0,0,-8.69
2021-01-22,1,-7.8,73,-6.9,26.5,100.88,98.74,0.4,0,0.4,-3.4
2021-01-21,3.1,-1.8,71,-4.6,23,100.26,98.13,0.2,0,0.2,0.65
2021-01-20,-2.2,-7.7,67.5,-9.8,21,101.46,99.29,0,0,0,-4.95
2021-01-19,-0.1,-3.5,74.5,-5.9,23,101.51,99.37,0.6,0,0.6,-1.8
2021-01-18,0.9,-4.6,79.5,-4.7,8.5,100.88,98.74,0,0,0,-1.85
2021-01-17,4.2,-2.7,75,-2.6,19.5,100.08,97.97,0.6,0,0.6,0.75
2021-01-16,4.7,-2.6,79.5,-2.2,18.5,100.09,97.99,0,0,0,1.05
2021-01-15,5.6,1.2,85.5,0.9,19.5,100.72,98.61,5,5,0,3.4
2021-01-14,4.6,-0.8,80,0.2,12,100.87,98.74,0,0,0,1.9
2021-01-13,3.1,-1.4,83.5,-1.8,13,101.16,99.03,0,0,0,0.85
2021-01-12,-1.2,-2.1,82.5,-4,16.5,101.86,99.71,0,0,0,-1.65
2021-01-11,0.2,-6.1,79.5,-5.2,15.5,102.3,100.14,0,0,0,-2.95
2021-01-10,1.9,-5.6,79,-5.2,12.5,102.53,100.37,0,0,0,-1.85
2021-01-09,3.3,-4.3,54.5,-9.3,18,102.21,100.04,0,0,0,-0.5
2021-01-08,-3.5,-9.3,73.5,-9.9,15,102.32,100.14,0,0,0,-6.4
2021-01-07,-0.6,-7.1,68.5,-7.5,17.5,102.67,100.5,0,0,0,-3.84
2021-01-06,2,-1.2,76,-3.5,23,102.35,100.19,0.2,0,0.2,0.4
2021-01-05,1,-0.1,87.5,-1.5,9,101.7,99.56,0.2,0,0.2,0.45
2021-01-04,1.1,-0.8,86.5,-1.4,7,101.63,99.49,0,0,0,0.15
2021-01-03,1.1,-0.8,91,-1.2,10.5,101.56,99.42,1.6,0,1.4,0.15
2021-01-02,1.2,-2.5,85,-1.6,14.5,101.36,99.22,6.8,3.8,4,-0.65
